title,content,date_str,date,cleaned_content,category,most_similar_transformers
Water flows continue into Indus River to keep Mancchar Lake level at safe limit,"""Overall level of Manchhar lake as far as its embankments are concerned is safe,"" says Mancchar executive engineer Imtiaz Abro.",2024-09-03T00:05:24+05:00,2024-09-03 00:05:24+05:00,overall level manchhar lake far embankment concerned safe say mancchar executive engineer imtiaz abro,NEGATIVE,"""Overall level of Manchhar lake as far as its embankments are concerned is safe,"" says Mancchar executive engineer Imtiaz Abro."
CINEMASCOPE: Alien Rising,"Alien: Romulus ranks a notch below James Cameron’s Aliens, but half-a-step above David Fincher’s Alien 3",2024-09-02T23:59:31+05:00,2024-09-02 23:59:31+05:00,alien romulus rank notch james cameron alien half step david fincher alien,NEGATIVE,"Alien: Romulus ranks a notch below James Cameron’s Aliens, but half-a-step above David Fincher’s Alien 3"
Israel’s ‘genocidal violence’ risks spreading beyond Gaza: UN expert,"""There is mounting evidence that no Palestinian is safe under Israel's unfettered control,” says UN special rapporteur Francesca Albanese.",2024-09-02T22:53:52+05:00,2024-09-02 22:53:52+05:00,mounting evidence palestinian safe israel unfettered control say un special rapporteur francesca albanese,NEGATIVE,"""There is mounting evidence that no Palestinian is safe under Israel's unfettered control,” says UN special rapporteur Francesca Albanese."
"Reckless bus driving claims two lives, injures 9 others in Karachi’s Site area: police","South DIG says suspect driver apprehended in raids, bus impounded, case filed and efforts on to arrest bus owner.",2024-09-02T22:15:45+05:00,2024-09-02 22:15:45+05:00,south dig say suspect driver apprehended raid bus impounded case filed effort arrest bus owner,NEGATIVE,"South DIG says suspect driver apprehended in raids, bus impounded, case filed and efforts on to arrest bus owner."
Frenchman on trial for recruiting 72 strangers to rape drugged wife over 10 years,Police count 92 rapes carried out by 72 men; the trial is to last until December 20.,2024-09-02T21:58:54+05:00,2024-09-02 21:58:54+05:00,police count rape carried men trial last december,NEGATIVE,Police count 92 rapes carried out by 72 men; the trial is to last until December 20.
Turkish Olympic shooter Yusuf Dikec aims to trademark viral stance,Coach says trademark application filed after others filed without Dikec's permission.,2024-09-02T21:52:05+05:00,2024-09-02 21:52:05+05:00,coach say trademark application filed others filed without dikec permission,NEGATIVE,Coach says trademark application filed after others filed without Dikec's permission.
"Six killed, 13 wounded in Kabul suicide bombing: police",There was no immediate claim of responsibility for the attack.,2024-09-02T21:21:06+05:00,2024-09-02 21:21:06+05:00,immediate claim responsibility attack,NEGATIVE,There was no immediate claim of responsibility for the attack.
Army personnel among 3 dead as landslide hits bus on Karakoram Highway in KP’s Dasu,"KKH blocked at several points between Bisham, Diamer after heavy rain; Punjab on alert as monsoon rains forecast till Wednesday in most parts.",2024-09-02T20:25:16+05:00,2024-09-02 20:25:16+05:00,kkh blocked several point bisham diamer heavy rain punjab alert monsoon rain forecast till wednesday part,NEGATIVE,"KKH blocked at several points between Bisham, Diamer after heavy rain; Punjab on alert as monsoon rains forecast till Wednesday in most parts."
"Netherlands tries TLP, TLYR chiefs for alleged incitement to kill anti-Islam leader Geert Wilders",No Dutch treaty exists with Pakistan for mutual legal assistance and the two men did not appear in the dock.,2024-09-02T18:24:57+05:00,2024-09-02 18:24:57+05:00,dutch treaty exists pakistan mutual legal assistance two men appear dock,NEGATIVE,No Dutch treaty exists with Pakistan for mutual legal assistance and the two men did not appear in the dock.
IHC full bench to resume hearing contempt plea over ‘malicious campaign’ against judge on Sept 19,"Notices were issued in July to two journalists and others over posts about the judge's law degree, which is said to have now been cancelled by KU.",2024-09-02T16:24:23+05:00,2024-09-02 16:24:23+05:00,notice issued july two journalist others post judge law degree said cancelled ku,NEGATIVE,"Notices were issued in July to two journalists and others over posts about the judge's law degree, which is said to have now been cancelled by KU."
